en,msa,tn,eg,jo,pa,sy,prompt,response
"And they do traffic with these thing, and really many people have become poor.",وبقوموا  بتهريب  تلك الاشياء .  ومع العلم  انه  يوجد  كتير  جدا من الفقراء .,وهربوا برشا حاجات ويقعدوا لعباد فقراء,و بيهربوا الحاجات دي و بجد بقى ناس كتير اوي فقراء,وبهربو هاي الاشياء وبضل ناس فقرا كتير,وبهربوا هاي الشغلات وفي كثير ناس صاروا فقراء,وبيهربو الشغلات هي وعنجد في ناس كتير كتير فقرا,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.وأنا جئت اليوم إن شاء الله حتى أكمل جزء بسيط من الموضوع الذى بدأناه المرة السابقة وهو تقويم الأسنان .
Source: The day came so that I finish some of the topic that we started last time, which is the orthodontic
Translation: <|im_end|>
<|im_start|>assistant
و هاو جاء النهار اللي انشاء الله باش نكملوا جزء صغير من الموضوع اللي بديناه المرة اللي فاتت و هو تقويم الاسنان<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.ما قد  جهزته  ليوم الاربعاء . اولا   السيد  محمود  حميده  فهو  رجل غير  اعتيادي.
Source: That I watched on Wednesday or no Mahmoud Hameeda is a man with no solution
Translation: <|im_end|>
<|im_start|>assistant
إللي حضرتلوا نهار الاربعاء اولا محمود حميدة معندوش حل<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.وبقوموا  بتهريب  تلك الاشياء .  ومع العلم  انه  يوجد  كتير  جدا من الفقراء .
Source: And they do traffic with these thing, and really many people have become poor.
Translation: <|im_end|>
",وبقاوموا بتهريب هؤلاء الأشياء، ومعرفين إن فيه كتير فقراء.
who oppress his wife won't think about his sister and he won't think but himself it means his interested if somebody id oppressing his sister and his interested only in him self,الذى يظلم زوجته لا يفكر في اخته ولا يفكر غير في نفسه بمعني لا يهمه إذا احد يظلم اخته ومهتم بنفسه فقط,اللي يظلم مرتو مايخممش في اختو مايخمم كان في روحو يعني ما يهموش كان حد ظلملو اختو مايهمو كان في روحو,اللي بيظلم مراته لا بيفكر في اخته ولا بيفكر غير في نفسه يعني لا بيهمه حد يظلم اخته ولا بيهمه غير نفسه,الي بظلم مرتو ما بفكر في اخته ولا في اي حد لا بهمو ازا حدا ظلم اختو او لا ما بهمو الا حالو,اللي بظلم مرته لا بفكر في اخته ولا في حدا بيظلم اخته هو بس بفكر وبهتم في حاله,اللي بيظلم مرته لا بيفكر في أخته وما يفكر غير في حالو  يعني ما بيهمو لو حدا ظلم أختو ما بيهمو غير حالو,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.الرب يحفظهم  لى البنت المسلمة ، الاميرة سيرو ،زينب ، ايمى
Source: and may god keep them for me, a muslim girl, the queen Sero Zainab Amy
Translation: <|im_end|>
<|im_start|>assistant
ربي يخليهملي بنتي المسلمة اميرة و زينب و ايمي<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.الذى لا أفهمه أن يكون معك زميلك فى العمل و مدير
Source: I do not understand that you have with you a partner at work and there is a boss
Translation: <|im_end|>
<|im_start|>assistant
انا مافهمتش يبدى معاك زميلك في الخدمة و فما مدير<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.الذى يظلم زوجته لا يفكر في اخته ولا يفكر غير في نفسه بمعني لا يهمه إذا احد يظلم اخته ومهتم بنفسه فقط
Source: who oppress his wife won't think about his sister and he won't think but himself it means his interested if somebody id oppressing his sister and his interested only in him self
Translation: <|im_end|>
","
اللي بيظلم مراتو ما يفكرش في اختو و ما يفكر غيره بيهمه انه كل واحد بيظلم اختو و بيهمه بس نفسه فقط"
Video exclusive and unique,مقطع حصري وفريد,مقطع حصري وفريد,مقطع حصري وفريد,مقطع حصري وفريد,مقطع حصري وفريد,مقطع خاص ومافي منو,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.المريض نعطيه حقنه
Source: I give a syringe to the sick person
Translation: <|im_end|>
<|im_start|>assistant
لمريض نزرقولوا<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.يقولون أنه أعطى لإبنى حرية
Source: They say, I give my son freedom
Translation: <|im_end|>
<|im_start|>assistant
يقولوا نعطي لولدي الحرية<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.مقطع حصري وفريد
Source: Video exclusive and unique
Translation: <|im_end|>
","
فيديو فريدة ووحيد"
in spite of emotion exchange between us,على الرغم من تبادل المشاعر بيننا,بالرغم المشاعر متبادلة بيناتنا,على الرغم من تبادل المشاعر بيننا,حتى مع المشاعر الي بينا,على الرغم من تبادل المشاعر بننا,على رغم من تغيير  المشاعر بينا,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.وزاد الضغط على المصريين بعد تعريب الدواوين
Source: And the pressure increased on the Egyptians after the Diwans became Arabic
Translation: <|im_end|>
<|im_start|>assistant
كثر الضغط على المصريين بعد تعريب الدواوين<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.التى توقفت عن بيع القصب إلى عصام السحرى
Source: whom stopped selling the sugarcane to the magical Essam
Translation: <|im_end|>
<|im_start|>assistant
ماعادش تبيع القصب لعصام السحري<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.على الرغم من تبادل المشاعر بيننا
Source: in spite of emotion exchange between us
Translation: <|im_end|>
","
على الرغم من تبادل المشاعر بيننا"
What are you waiting from thieves ?,ماذا تنتظر من اللصوص ؟,شنوا تستنى من السراق؟,منتظر ايه من اللصوص ؟,شو مستني من الحرامية,,شو مستني من الحرامي ؟؟؟,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.ايها الشعب الضائع فى الغابات ماذا تنتظر؟
Source: to the people who are lost in the jungles, you are stupid what are you waiting?
Translation: <|im_end|>
<|im_start|>assistant
يا شعب يا ضايع ماكش غبي فاش تستنى<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.الاما  انظر؟؟؟؟
Source: what should I see?
Translation: <|im_end|>
<|im_start|>assistant
زعمة شنوا نشوف ؟<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.ماذا تنتظر من اللصوص ؟
Source: What are you waiting from thieves ?
Translation: <|im_end|>
","
ما تنتظر من اللصوص ؟"
"I don't know why people keep visiting the blog area, although it is been empty for a while now and no one is writing any thing",لا اعلم لماذا يداوم الناس على زيارة المدونة مع إنها فارغة ولا يوجد احد للكتابه  بها  منذ  فتره .,انا ما نعرفش علاش الناس مازالو يدخلوا للبلوق و هو فارغ مافيه شئ وماعادش حد يكتب فيه,معرفش ليه المدونة الناس بتزورها مع إنها فاضية وما فيهاش حد يكتب فيها من زمن,ما بعرف ليش الناس لساب تزور المدونة مع انها فاضية,المدونه فاضيه وما في حدا بكتب فيها من زمان ومع هيك الناس بتزورها,ما بعرف ليش الملاحظات الناس بتزورها مع أنو هي فاضية وما فيها حدا بكتب فيها من زمان,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.وهذا ليس تحدياً، ولكن رغبة مني في زيادة المواضيع التي ستشاركنا فيها
Source: and this is not a challenge, but it's a desire from me to increase her participation's topics with us
Translation: <|im_end|>
<|im_start|>assistant
هذا موش تحدي ليها اما انا نحبها يزيد تشارك معانا<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.و فى النهاية و بالطبع زوجها سيدرك ما فعلته
Source: And in the hereafter, and of course her husband will recognize her act.
Translation: <|im_end|>
<|im_start|>assistant
وأكيد راجلها باش ياقف يتفرج<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.لا اعلم لماذا يداوم الناس على زيارة المدونة مع إنها فارغة ولا يوجد احد للكتابه  بها  منذ  فتره .
Source: I don't know why people keep visiting the blog area, although it is been empty for a while now and no one is writing any thing
Translation: <|im_end|>
",مش عارفة لماذا الناس بديرون يزورو مدونة مع انها مكتوحة و ما بتشوف كتابة جديد من زمان
"what is up moon, how do you do? will you log in to the internet or not?",كيف حالك عزيزتى هل سوف تفتحى الإنترنت,شنوة يا حلوة شعاملة شنوى ماكش باش تكنكتي,إية يا قمر عاملة إية مش هتفتحى النت ولا إية,"شو يا قمر شو عاملة , مش رح تفتحي نت ؟",شو يا قمر كيف حالك ما بدك تفتحي النت ؟,شو يعني يا قمر أنتي ما رح تفتحي النت ولا شو,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.وهذا عندما تكون فى حاله تأكد انك لا تريد هذه الملفات
Source: and this is when you are sure that you don't want these files
Translation: <|im_end|>
<|im_start|>assistant
و هذا وقت اللي تكون متاكد انك ما حشتكش بالملفات هذوما<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.لا تبتعد عن هنا حتى لا تفقد الطريق
Source: and do not go too far from here so that you do not get lost
Translation: <|im_end|>
<|im_start|>assistant
رد بالك تبعد من هنا لا تضيع<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.كيف حالك عزيزتى هل سوف تفتحى الإنترنت
Source: what is up moon, how do you do? will you log in to the internet or not?
Translation: <|im_end|>
","
كمال حالك يا حبيبة، هتفتح إنترنت ولا لأ؟"
because you are a personality that i can not describe,لأنك شخصية و لن اقدر أن أوصفها,على خاطرك شخصية بلحق منجمش نوصفها,لانك شخصيه وبجد مش هعرف اوصفها,انت جد شخصية مستحيل اقدر اوصفها,عن جد ما شاء الله عليك سخصيتك ما بتنوصف,لأنك شخصية وعنجد ما رح أعرف أوصفها,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.و لكن انتبهوا العفريت ناصح كل شخص سياره واحده فقط
Source: and take care the jinn is clever every single one only one car
Translation: <|im_end|>
<|im_start|>assistant
ردوا بالكم كل واحد برويطة وحدة بركا<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.انا معك فى ان إختيار الدولة نفسها ليس صحيحاً
Source: I am with you that choosing the country itself is not right
Translation: <|im_end|>
<|im_start|>assistant
انا معاك اللي اختيار البلاد مش صحيح<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.لأنك شخصية و لن اقدر أن أوصفها
Source: because you are a personality that i can not describe
Translation: <|im_end|>
","
لأنك شخصية و ما بقدرش أن ننصفك"
"Really Banboon, your topics are real nice and waiting for more of you",حقا يا عزيزتى موضوعاتك جميله و منتظرين المزيد,برسمي يا بنبونة كلك تحفة و نستناو منك اكثر,بجد يا بنبونه توبيكاتك كلها تحفه ومنتظرين منك المزيد,جد يا بنبونه مواضيعك كلها تحفة وبنستنى منك اكتر,عن جد يا بنبونه كل مواضيعك حلوه وبنستنى الزيد منك,عنجد يا بنوته توبيكاتك كلها حلوة وعم نستنى منك الأكتر من هيك,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.حقيقى و الله يا استاذنا موضوع الزكاه ده موضوع مهم جداا
Source: our professor, I swear that you are really correct, the subject of ""Zakah"" is very important subject
Translation: <|im_end|>
<|im_start|>assistant
بالحق موضوع الزكاة موضوع طيارة<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.المناظر رائعة جدا ً والطبيعة سبحان الخالق الذى وهب
Source: Nice scenes and natural! Praise god who gave us
Translation: <|im_end|>
<|im_start|>assistant
مناظر رائعه جدااا و طبيعة سبحان الخالق الذي وهب ،<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.حقا يا عزيزتى موضوعاتك جميله و منتظرين المزيد
Source: Really Banboon, your topics are real nice and waiting for more of you
Translation: <|im_end|>
","
حقيقا يا عزيزتي موضوعاتك جميلة ونتعشق المزيد منك"
and love whatever you want because you are going to leave it..,و أحب ما تريد لأنك ستفارقه,حب كل الي تريدوا على خاطرك ماشي و مخليه,واحبب ما شئت فانك مفارقه ..,حب الي بدك اياه اخرتك تفارقو,حب اللي بدك اياه والكل ميت ....,حب مين ما بدك بلأخر رح تفارق الكل,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.وماذا ستفعل عندما تجد أحد أصحابك أو أقاربك
Source: what would you do if you found one of your friends or relatives
Translation: <|im_end|>
<|im_start|>assistant
زعمة شنوى تعمل كان لقيت واحد من صحابك ولا اقاربك<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.ولا تتضايقون فعندكم الليره بليره
Source: and do not get sad, at yours the Lira is for a Lira
Translation: <|im_end|>
<|im_start|>assistant
وما تتغشش عندكم الليره بليره<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.و أحب ما تريد لأنك ستفارقه
Source: and love whatever you want because you are going to leave it..
Translation: <|im_end|>
","
واحب ما تريده لأنك ستغادرها"
