eg,en,jo,msa,pa,sy,tn,prompt,response
و بيهربوا الحاجات دي و بجد بقى ناس كتير اوي فقراء,"And they do traffic with these thing, and really many people have become poor.",وبهربو هاي الاشياء وبضل ناس فقرا كتير,وبقوموا  بتهريب  تلك الاشياء .  ومع العلم  انه  يوجد  كتير  جدا من الفقراء .,وبهربوا هاي الشغلات وفي كثير ناس صاروا فقراء,وبيهربو الشغلات هي وعنجد في ناس كتير كتير فقرا,وهربوا برشا حاجات ويقعدوا لعباد فقراء,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.وبقوموا  بتهريب  تلك الاشياء .  ومع العلم  انه  يوجد  كتير  جدا من الفقراء .
Source: And they do traffic with these thing, and really many people have become poor.
Translation: <|im_end|>
","
وبقوموا بتهريب تلك الأشياء. ومع العلم أنه يوجد كثيراً من الفقراء."
اللي بيظلم مراته لا بيفكر في اخته ولا بيفكر غير في نفسه يعني لا بيهمه حد يظلم اخته ولا بيهمه غير نفسه,who oppress his wife won't think about his sister and he won't think but himself it means his interested if somebody id oppressing his sister and his interested only in him self,الي بظلم مرتو ما بفكر في اخته ولا في اي حد لا بهمو ازا حدا ظلم اختو او لا ما بهمو الا حالو,الذى يظلم زوجته لا يفكر في اخته ولا يفكر غير في نفسه بمعني لا يهمه إذا احد يظلم اخته ومهتم بنفسه فقط,اللي بظلم مرته لا بفكر في اخته ولا في حدا بيظلم اخته هو بس بفكر وبهتم في حاله,اللي بيظلم مرته لا بيفكر في أخته وما يفكر غير في حالو  يعني ما بيهمو لو حدا ظلم أختو ما بيهمو غير حالو,اللي يظلم مرتو مايخممش في اختو مايخمم كان في روحو يعني ما يهموش كان حد ظلملو اختو مايهمو كان في روحو,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.الذى يظلم زوجته لا يفكر في اخته ولا يفكر غير في نفسه بمعني لا يهمه إذا احد يظلم اخته ومهتم بنفسه فقط
Source: who oppress his wife won't think about his sister and he won't think but himself it means his interested if somebody id oppressing his sister and his interested only in him self
Translation: <|im_end|>
","யார் மனைவியை அவர்கள் அவரது சகோதரியை நினைக்கார் அல்லது அவர் தன்னை மட்டும் நினைக்கும், என்பது எந்தவொரு அந்த சகோதரியை அவர் அவர்கள் அவர்கள் அல்லது தன்னை மட்டும் கவனம் செலுத்துகின்றார்."
مقطع حصري وفريد,Video exclusive and unique,مقطع حصري وفريد,مقطع حصري وفريد,مقطع حصري وفريد,مقطع خاص ومافي منو,مقطع حصري وفريد,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.مقطع حصري وفريد
Source: Video exclusive and unique
Translation: <|im_end|>
",://அகத்திக்கு வீடியோ அடிக்குறையான மற்றும் அல்லானது
على الرغم من تبادل المشاعر بيننا,in spite of emotion exchange between us,حتى مع المشاعر الي بينا,على الرغم من تبادل المشاعر بيننا,على الرغم من تبادل المشاعر بننا,على رغم من تغيير  المشاعر بينا,بالرغم المشاعر متبادلة بيناتنا,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.على الرغم من تبادل المشاعر بيننا
Source: in spite of emotion exchange between us
Translation: <|im_end|>
",://நாம் நடையான உணர்வு பரிமாற்றம் இருந்தாலும்
منتظر ايه من اللصوص ؟,What are you waiting from thieves ?,شو مستني من الحرامية,ماذا تنتظر من اللصوص ؟,,شو مستني من الحرامي ؟؟؟,شنوا تستنى من السراق؟,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.ماذا تنتظر من اللصوص ؟
Source: What are you waiting from thieves ?
Translation: <|im_end|>
","
أنتظرون من اللصوص؟"
معرفش ليه المدونة الناس بتزورها مع إنها فاضية وما فيهاش حد يكتب فيها من زمن,"I don't know why people keep visiting the blog area, although it is been empty for a while now and no one is writing any thing",ما بعرف ليش الناس لساب تزور المدونة مع انها فاضية,لا اعلم لماذا يداوم الناس على زيارة المدونة مع إنها فارغة ولا يوجد احد للكتابه  بها  منذ  فتره .,المدونه فاضيه وما في حدا بكتب فيها من زمان ومع هيك الناس بتزورها,ما بعرف ليش الملاحظات الناس بتزورها مع أنو هي فاضية وما فيها حدا بكتب فيها من زمان,انا ما نعرفش علاش الناس مازالو يدخلوا للبلوق و هو فارغ مافيه شئ وماعادش حد يكتب فيه,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.لا اعلم لماذا يداوم الناس على زيارة المدونة مع إنها فارغة ولا يوجد احد للكتابه  بها  منذ  فتره .
Source: I don't know why people keep visiting the blog area, although it is been empty for a while now and no one is writing any thing
Translation: <|im_end|>
","
أنا مفتش إن شأني لماذا الناس بستمر على زيارة المدونة مع إنها فارغة وملغاة منذ وقت طويل ولم يكن لأي شخص الكتابة بها."
إية يا قمر عاملة إية مش هتفتحى النت ولا إية,"what is up moon, how do you do? will you log in to the internet or not?","شو يا قمر شو عاملة , مش رح تفتحي نت ؟",كيف حالك عزيزتى هل سوف تفتحى الإنترنت,شو يا قمر كيف حالك ما بدك تفتحي النت ؟,شو يعني يا قمر أنتي ما رح تفتحي النت ولا شو,شنوة يا حلوة شعاملة شنوى ماكش باش تكنكتي,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.كيف حالك عزيزتى هل سوف تفتحى الإنترنت
Source: what is up moon, how do you do? will you log in to the internet or not?
Translation: <|im_end|>
","
நீங்கள் எப்படி இருக்கிறீர்கள் அவர்கள், நீங்கள் இணையம் உடனே உள்ளீர்களா அல்லது அல்லாமல்?"
لانك شخصيه وبجد مش هعرف اوصفها,because you are a personality that i can not describe,انت جد شخصية مستحيل اقدر اوصفها,لأنك شخصية و لن اقدر أن أوصفها,عن جد ما شاء الله عليك سخصيتك ما بتنوصف,لأنك شخصية وعنجد ما رح أعرف أوصفها,على خاطرك شخصية بلحق منجمش نوصفها,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.لأنك شخصية و لن اقدر أن أوصفها
Source: because you are a personality that i can not describe
Translation: <|im_end|>
",://ஏன் நீங்கள் ஒரு சாதாரமான நபர் என்பதால் அதை விவரிக்க முடியாது.
بجد يا بنبونه توبيكاتك كلها تحفه ومنتظرين منك المزيد,"Really Banboon, your topics are real nice and waiting for more of you",جد يا بنبونه مواضيعك كلها تحفة وبنستنى منك اكتر,حقا يا عزيزتى موضوعاتك جميله و منتظرين المزيد,عن جد يا بنبونه كل مواضيعك حلوه وبنستنى الزيد منك,عنجد يا بنوته توبيكاتك كلها حلوة وعم نستنى منك الأكتر من هيك,برسمي يا بنبونة كلك تحفة و نستناو منك اكثر,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.حقا يا عزيزتى موضوعاتك جميله و منتظرين المزيد
Source: Really Banboon, your topics are real nice and waiting for more of you
Translation: <|im_end|>
","
أحسن يا عزيزتي، موضوعاتك حلوين ونتعوض ببعضك المزيد"
واحبب ما شئت فانك مفارقه ..,and love whatever you want because you are going to leave it..,حب الي بدك اياه اخرتك تفارقو,و أحب ما تريد لأنك ستفارقه,حب اللي بدك اياه والكل ميت ....,حب مين ما بدك بلأخر رح تفارق الكل,حب كل الي تريدوا على خاطرك ماشي و مخليه,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.و أحب ما تريد لأنك ستفارقه
Source: and love whatever you want because you are going to leave it..
Translation: <|im_end|>
","
அன்றாட நீங்கள் விரும்பும் எந்த விஷயத்தையும் அன்பு செய்யுங்கள், ஏனெனில் அதை விட்டுச்செல்ல வேண்டும்."
